"ID","Description","Statistics","P-value","q-value"
"PF16135","TPL-binding domain in jasmonate signalling","8/34399 | 3/884","0.0008599","0.2731"
"PF09425","Divergent CCT motif","40/34399 | 2/884","0.2746","0.4778"
"PF08240","Alcohol dehydrogenase GroES-like domain","71/34399 | 3/884","0.2753","0.4778"
"PF03634","TCP family transcription factor","41/34399 | 2/884","0.2842","0.4851"
"PF11721","Di-glucose binding within endoplasmic reticulum","13/34399 | 1/884","0.2872","0.4851"
"PF08022","FAD-binding domain","13/34399 | 1/884","0.2872","0.4851"
"PF03759","PRONE (Plant-specific Rop nucleotide exchanger)","13/34399 | 1/884","0.2872","0.4851"
"PF07816","Protein of unknown function (DUF1645)","13/34399 | 1/884","0.2872","0.4851"
"PF13419","Haloacid dehalogenase-like hydrolase","13/34399 | 1/884","0.2872","0.4851"
"PF01496","V-type ATPase 116kDa subunit family","13/34399 | 1/884","0.2872","0.4851"
"PF00956","Nucleosome assembly protein (NAP)","13/34399 | 1/884","0.2872","0.4851"
"PF05193","Peptidase M16 inactive domain","13/34399 | 1/884","0.2872","0.4851"
"PF05699","hAT family C-terminal dimerisation region","73/34399 | 3/884","0.2893","0.4873"
"PF00544","Pectate lyase","42/34399 | 2/884","0.2938","0.4934"
"PF00847","AP2 domain","247/34399 | 8/884","0.3035","0.4956"
"PF00487","Fatty acid desaturase","14/34399 | 1/884","0.3055","0.4956"
"PF01532","Glycosyl hydrolase family 47","14/34399 | 1/884","0.3055","0.4956"
"PF04577","Protein of unknown function (DUF563)","14/34399 | 1/884","0.3055","0.4956"
"PF05042","Caleosin related protein","14/34399 | 1/884","0.3055","0.4956"
"PF04782","Protein of unknown function (DUF632)","14/34399 | 1/884","0.3055","0.4956"
"PF05633","Protein BYPASS1-related","14/34399 | 1/884","0.3055","0.4956"
"PF08031","Berberine and berberine like","14/34399 | 1/884","0.3055","0.4956"
"PF00365","Phosphofructokinase","14/34399 | 1/884","0.3055","0.4956"
"PF01612","3-5 exonuclease","14/34399 | 1/884","0.3055","0.4956"
"PF01717","Cobalamin-independent synthase, Catalytic domain","14/34399 | 1/884","0.3055","0.4956"
"PF02516","Oligosaccharyl transferase STT3 subunit","14/34399 | 1/884","0.3055","0.4956"
"PF01156","Inosine-uridine preferring nucleoside hydrolase","15/34399 | 1/884","0.3233","0.5114"
"PF08267","Cobalamin-independent synthase, N-terminal domain","15/34399 | 1/884","0.3233","0.5114"
"PF02212","Dynamin GTPase effector domain","15/34399 | 1/884","0.3233","0.5114"
"PF01679","Proteolipid membrane potential modulator","15/34399 | 1/884","0.3233","0.5114"
"PF03248","Rer1 family","15/34399 | 1/884","0.3233","0.5114"
"PF14310","Fibronectin type III-like domain","15/34399 | 1/884","0.3233","0.5114"
"PF00888","Cullin family","15/34399 | 1/884","0.3233","0.5114"
"PF13964","Kelch motif","15/34399 | 1/884","0.3233","0.5114"
"PF03208","PRA1 family protein","15/34399 | 1/884","0.3233","0.5114"
"PF00232","Glycosyl hydrolase family 1","78/34399 | 3/884","0.3245","0.5119"
"PF00319","SRF-type transcription factor (DNA-binding and dimerisation domain)","79/34399 | 3/884","0.3316","0.5216"
"PF02985","HEAT repeat","16/34399 | 1/884","0.3407","0.5258"
"PF02373","JmjC domain, hydroxylase","16/34399 | 1/884","0.3407","0.5258"
"PF03015","Male sterility protein","16/34399 | 1/884","0.3407","0.5258"
"PF13178","Protein of unknown function (DUF4005)","16/34399 | 1/884","0.3407","0.5258"
"PF00063","Myosin head (motor domain)","16/34399 | 1/884","0.3407","0.5258"
"PF00335","Tetraspanin family","16/34399 | 1/884","0.3407","0.5258"
"PF05033","Pre-SET motif","16/34399 | 1/884","0.3407","0.5258"
"PF07859","alpha/beta hydrolase fold","81/34399 | 3/884","0.3457","0.5306"
"PF00022","Actin","81/34399 | 3/884","0.3457","0.5306"
"PF00012","Hsp70 protein","116/34399 | 4/884","0.3484","0.5334"
"PF00642","Zinc finger C-x8-C-x5-C-x3-H type (and similar)","48/34399 | 2/884","0.3506","0.5353"
"PF05221","S-adenosyl-L-homocysteine hydrolase","17/34399 | 1/884","0.3577","0.5403"
"PF00493","MCM2/3/5 family","17/34399 | 1/884","0.3577","0.5403"
"PF05910","Plant protein of unknown function (DUF868)","17/34399 | 1/884","0.3577","0.5403"
"PF05577","Serine carboxypeptidase S28","17/34399 | 1/884","0.3577","0.5403"
"PF04564","U-box domain","83/34399 | 3/884","0.3598","0.5408"
"PF00954","S-locus glycoprotein domain","49/34399 | 2/884","0.3599","0.5408"
"PF00067","Cytochrome P450","597/34399 | 17/884","0.3676","0.5479"
"PF03016","Exostosin family","50/34399 | 2/884","0.3692","0.5479"
"PF09713","Plant protein 1589 of unknown function (A_thal_3526)","18/34399 | 1/884","0.3742","0.5479"
"PF00096","Zinc finger, C2H2 type","18/34399 | 1/884","0.3742","0.5479"
"PF00097","Zinc finger, C3HC4 type (RING finger)","18/34399 | 1/884","0.3742","0.5479"
"PF04146","YT521-B-like domain","18/34399 | 1/884","0.3742","0.5479"
"PF11955","Plant organelle RNA recognition domain","18/34399 | 1/884","0.3742","0.5479"
"PF05498","Rapid ALkalinization Factor (RALF)","18/34399 | 1/884","0.3742","0.5479"
"PF02045","CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B","18/34399 | 1/884","0.3742","0.5479"
"PF06507","Auxin response factor","18/34399 | 1/884","0.3742","0.5479"
"PF01344","Kelch motif","121/34399 | 4/884","0.3776","0.5512"
"PF03822","NAF domain","51/34399 | 2/884","0.3784","0.5512"
"PF00856","SET domain","52/34399 | 2/884","0.3876","0.5599"
"PF10585","Ubiquitin-activating enzyme active site","19/34399 | 1/884","0.3903","0.5599"
"PF13418","Galactose oxidase, central domain","19/34399 | 1/884","0.3903","0.5599"
"PF01301","Glycosyl hydrolases family 35","19/34399 | 1/884","0.3903","0.5599"
"PF01762","Galactosyltransferase","19/34399 | 1/884","0.3903","0.5599"
"PF01936","NYN domain","19/34399 | 1/884","0.3903","0.5599"
"PF03936","Terpene synthase family, metal binding domain","88/34399 | 3/884","0.3947","0.5648"
"PF03168","Late embryogenesis abundant protein","53/34399 | 2/884","0.3967","0.5663"
"PF00759","Glycosyl hydrolase family 9","54/34399 | 2/884","0.4058","0.5696"
"PF13905","Thioredoxin-like","20/34399 | 1/884","0.4060","0.5696"
"PF01264","Chorismate synthase","20/34399 | 1/884","0.4060","0.5696"
"PF03109","ABC1 family","20/34399 | 1/884","0.4060","0.5696"
"PF01053","Cys/Met metabolism PLP-dependent enzyme","20/34399 | 1/884","0.4060","0.5696"
"PF01268","Formate--tetrahydrofolate ligase","20/34399 | 1/884","0.4060","0.5696"
"PF08246","Cathepsin propeptide inhibitor domain (I29)","20/34399 | 1/884","0.4060","0.5696"
"PF00083","Sugar (and other) transporter","163/34399 | 5/884","0.4086","0.5718"
"PF12937","F-box-like","55/34399 | 2/884","0.4147","0.5790"
"PF00676","Dehydrogenase E1 component","21/34399 | 1/884","0.4212","0.5810"
"PF02893","GRAM domain","21/34399 | 1/884","0.4212","0.5810"
"PF08879","WRC","21/34399 | 1/884","0.4212","0.5810"
"PF01426","BAH domain","21/34399 | 1/884","0.4212","0.5810"
"PF14215","bHLH-MYC and R2R3-MYB transcription factors N-terminal","21/34399 | 1/884","0.4212","0.5810"
"PF06200","tify domain","57/34399 | 2/884","0.4325","0.5901"
"PF00085","Thioredoxin","57/34399 | 2/884","0.4325","0.5901"
"PF05922","Peptidase inhibitor I9","57/34399 | 2/884","0.4325","0.5901"
"PF00332","Glycosyl hydrolases family 17","94/34399 | 3/884","0.4359","0.5901"
"PF00300","Histidine phosphatase superfamily (branch 1)","22/34399 | 1/884","0.4361","0.5901"
"PF00505","HMG (high mobility group) box","22/34399 | 1/884","0.4361","0.5901"
"PF00202","Aminotransferase class-III","22/34399 | 1/884","0.4361","0.5901"
"PF16913","Purine nucleobase transmembrane transport","22/34399 | 1/884","0.4361","0.5901"
"PF00171","Aldehyde dehydrogenase family","58/34399 | 2/884","0.4413","0.5957"
"PF00125","Core histone H2A/H2B/H3/H4","95/34399 | 3/884","0.4427","0.5962"
"PF00270","DEAD/DEAH box helicase","96/34399 | 3/884","0.4494","0.6026"
"PF04548","AIG1 family","23/34399 | 1/884","0.4506","0.6026"
"PF02701","Dof domain, zinc finger","23/34399 | 1/884","0.4506","0.6026"
"PF02798","Glutathione S-transferase, N-terminal domain","60/34399 | 2/884","0.4586","0.6118"
"PF00583","Acetyltransferase (GNAT) family","24/34399 | 1/884","0.4648","0.6172"
"PF00350","Dynamin family","24/34399 | 1/884","0.4648","0.6172"
"PF13855","Leucine rich repeat","791/34399 | 21/884","0.4707","0.6235"
"PF00891","O-methyltransferase","62/34399 | 2/884","0.4756","0.6238"
"PF01397","Terpene synthase, N-terminal domain","62/34399 | 2/884","0.4756","0.6238"
"PF00450","Serine carboxypeptidase","100/34399 | 3/884","0.4761","0.6238"
"PF00689","Cation transporting ATPase, C-terminus","25/34399 | 1/884","0.4785","0.6238"
"PF10431","C-terminal, D2-small domain, of ClpB protein","25/34399 | 1/884","0.4785","0.6238"
"PF03953","Tubulin C-terminal domain","25/34399 | 1/884","0.4785","0.6238"
"PF00025","ADP-ribosylation factor family","25/34399 | 1/884","0.4785","0.6238"
"PF02365","No apical meristem (NAM) protein","102/34399 | 3/884","0.4891","0.6274"
"PF01734","Patatin-like phospholipase","26/34399 | 1/884","0.4919","0.6274"
"PF14223","gag-polypeptide of LTR copia-type","26/34399 | 1/884","0.4919","0.6274"
"PF08370","Plant PDR ABC transporter associated","26/34399 | 1/884","0.4919","0.6274"
"PF00234","Protease inhibitor/seed storage/LTP family","26/34399 | 1/884","0.4919","0.6274"
"PF14363","Domain associated at C-terminal with AAA","26/34399 | 1/884","0.4919","0.6274"
"PF03000","NPH3 family","26/34399 | 1/884","0.4919","0.6274"
"PF02854","MIF4G domain","26/34399 | 1/884","0.4919","0.6274"
"PF04520","Senescence regulator","26/34399 | 1/884","0.4919","0.6274"
"PF00561","alpha/beta hydrolase fold","64/34399 | 2/884","0.4922","0.6274"
"PF14008","Iron/zinc purple acid phosphatase-like protein C","27/34399 | 1/884","0.5050","0.6408"
"PF03767","HAD superfamily, subfamily IIIB (Acid phosphatase)","27/34399 | 1/884","0.5050","0.6408"
"PF02364","1,3-beta-glucan synthase component","28/34399 | 1/884","0.5177","0.6540"
"PF10604","Polyketide cyclase / dehydrase and lipid transport","28/34399 | 1/884","0.5177","0.6540"
"PF03171","2OG-Fe(II) oxygenase superfamily","187/34399 | 5/884","0.5271","0.6609"
"PF01582","TIR domain","345/34399 | 9/884","0.5286","0.6609"
"PF00566","Rab-GTPase-TBC domain","29/34399 | 1/884","0.5301","0.6609"
"PF00454","Phosphatidylinositol 3- and 4-kinase","29/34399 | 1/884","0.5301","0.6609"
"PF14299","Phloem protein 2","29/34399 | 1/884","0.5301","0.6609"
"PF02170","PAZ domain","29/34399 | 1/884","0.5301","0.6609"
"PF03083","Sugar efflux transporter for intercellular exchange","70/34399 | 2/884","0.5402","0.6687"
"PF04770","ZF-HD protein dimerisation region","30/34399 | 1/884","0.5422","0.6687"
"PF00497","Bacterial extracellular solute-binding proteins, family 3","30/34399 | 1/884","0.5422","0.6687"
"PF00150","Cellulase (glycosyl hydrolase family 5)","30/34399 | 1/884","0.5422","0.6687"
"PF13966","zinc-binding in reverse transcriptase","30/34399 | 1/884","0.5422","0.6687"
"PF07690","Major Facilitator Superfamily","31/34399 | 1/884","0.5540","0.6745"
"PF03283","Pectinacetylesterase","31/34399 | 1/884","0.5540","0.6745"
"PF07250","Glyoxal oxidase N-terminus","31/34399 | 1/884","0.5540","0.6745"
"PF16211","C-terminus of histone H2A","31/34399 | 1/884","0.5540","0.6745"
"PF03007","Wax ester synthase-like Acyl-CoA acyltransferase domain","31/34399 | 1/884","0.5540","0.6745"
"PF00035","Double-stranded RNA binding motif","31/34399 | 1/884","0.5540","0.6745"
"PF08263","Leucine rich repeat N-terminal domain","434/34399 | 11/884","0.5609","0.6783"
"PF04043","Plant invertase/pectin methylesterase inhibitor","73/34399 | 2/884","0.5629","0.6783"
"PF05553","Cotton fibre expressed protein","73/34399 | 2/884","0.5629","0.6783"
"PF00903","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily","32/34399 | 1/884","0.5655","0.6783"
"PF00612","IQ calmodulin-binding motif","32/34399 | 1/884","0.5655","0.6783"
"PF07993","Male sterility protein","32/34399 | 1/884","0.5655","0.6783"
"PF13833","EF-hand domain pair","32/34399 | 1/884","0.5655","0.6783"
"PF00107","Zinc-binding dehydrogenase","74/34399 | 2/884","0.5703","0.6803"
"PF13812","Pentatricopeptide repeat domain","156/34399 | 4/884","0.5713","0.6803"
"PF01095","Pectinesterase","116/34399 | 3/884","0.5758","0.6803"
"PF03931","Skp1 family, tetramerisation domain","33/34399 | 1/884","0.5766","0.6803"
"PF00118","TCP-1/cpn60 chaperonin family","33/34399 | 1/884","0.5766","0.6803"
"PF01915","Glycosyl hydrolase family 3 C-terminal domain","33/34399 | 1/884","0.5766","0.6803"
"PF03081","Exo70 exocyst complex subunit","33/34399 | 1/884","0.5766","0.6803"
"PF00899","ThiF family","33/34399 | 1/884","0.5766","0.6803"
"PF00538","linker histone H1 and H5 family","34/34399 | 1/884","0.5875","0.6903"
"PF13410","Glutathione S-transferase, C-terminal domain","34/34399 | 1/884","0.5875","0.6903"
"PF01926","50S ribosome-binding GTPase","35/34399 | 1/884","0.5981","0.6992"
"PF00240","Ubiquitin family","120/34399 | 3/884","0.5988","0.6992"
"PF01490","Transmembrane amino acid transporter protein","120/34399 | 3/884","0.5988","0.6992"
"PF01453","D-mannose binding lectin","79/34399 | 2/884","0.6060","0.7033"
"PF00179","Ubiquitin-conjugating enzyme","79/34399 | 2/884","0.6060","0.7033"
"PF00582","Universal stress protein family","79/34399 | 2/884","0.6060","0.7033"
"PF00294","pfkB family carbohydrate kinase","36/34399 | 1/884","0.6085","0.7037"
"PF00139","Legume lectin domain","122/34399 | 3/884","0.6100","0.7037"
"PF00226","DnaJ domain","122/34399 | 3/884","0.6100","0.7037"
"PF08100","Dimerisation domain","37/34399 | 1/884","0.6186","0.7107"
"PF00999","Sodium/hydrogen exchanger family","37/34399 | 1/884","0.6186","0.7107"
"PF07899","Frigida-like protein","38/34399 | 1/884","0.6284","0.7190"
"PF04398","Protein of unknown function, DUF538","38/34399 | 1/884","0.6284","0.7190"
"PF00415","Regulator of chromosome condensation (RCC1) repeat","39/34399 | 1/884","0.6379","0.7229"
"PF01486","K-box region","39/34399 | 1/884","0.6379","0.7229"
"PF00732","GMC oxidoreductase","39/34399 | 1/884","0.6379","0.7229"
"PF01501","Glycosyl transferase family 8","39/34399 | 1/884","0.6379","0.7229"
"PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","337/34399 | 8/884","0.6386","0.7229"
"PF04937","Protein of unknown function (DUF 659)","84/34399 | 2/884","0.6393","0.7229"
"PF03552","Cellulose synthase","85/34399 | 2/884","0.6457","0.7264"
"PF00160","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","40/34399 | 1/884","0.6472","0.7264"
"PF13520","Amino acid permease","40/34399 | 1/884","0.6472","0.7264"
"PF14009","Domain of unknown function (DUF4228)","129/34399 | 3/884","0.6475","0.7264"
"PF00011","Hsp20/alpha crystallin family","86/34399 | 2/884","0.6521","0.7300"
"PF00400","WD domain, G-beta repeat","216/34399 | 5/884","0.6542","0.7310"
"PF14111","Domain of unknown function (DUF4283)","41/34399 | 1/884","0.6563","0.7319"
"PF05199","GMC oxidoreductase","42/34399 | 1/884","0.6652","0.7404"
"PF00082","Subtilase family","89/34399 | 2/884","0.6704","0.7448"
"PF00227","Proteasome subunit","43/34399 | 1/884","0.6738","0.7470"
"PF00112","Papain family cysteine protease","44/34399 | 1/884","0.6822","0.7534"
"PF00043","Glutathione S-transferase, C-terminal domain","44/34399 | 1/884","0.6822","0.7534"
"PF02225","PA domain","45/34399 | 1/884","0.6903","0.7566"
"PF06974","Protein of unknown function (DUF1298)","45/34399 | 1/884","0.6903","0.7566"
"PF02984","Cyclin, C-terminal domain","45/34399 | 1/884","0.6903","0.7566"
"PF02705","K+ potassium transporter","45/34399 | 1/884","0.6903","0.7566"
"PF00072","Response regulator receiver domain","46/34399 | 1/884","0.6983","0.7639"
"PF06813","Nodulin-like","47/34399 | 1/884","0.7061","0.7701"
"PF00560","Leucine Rich Repeat","486/34399 | 11/884","0.7067","0.7701"
"PF00651","BTB/POZ domain","49/34399 | 1/884","0.7210","0.7842"
"PF13837","Myb/SANT-like DNA-binding domain","51/34399 | 1/884","0.7352","0.7977"
"PF05368","NmrA-like family","101/34399 | 2/884","0.7362","0.7977"
"PF00722","Glycosyl hydrolases family 16","102/34399 | 2/884","0.7412","0.8015"
"PF00394","Multicopper oxidase","103/34399 | 2/884","0.7460","0.8037"
"PF00153","Mitochondrial carrier protein","103/34399 | 2/884","0.7460","0.8037"
"PF10250","GDP-fucose protein O-fucosyltransferase","53/34399 | 1/884","0.7486","0.8042"
"PF00141","Peroxidase","287/34399 | 6/884","0.7493","0.8042"
"PF00182","Chitinase class I","54/34399 | 1/884","0.7551","0.8089"
"PF13947","Wall-associated receptor kinase galacturonan-binding","55/34399 | 1/884","0.7614","0.8142"
"PF03169","OPT oligopeptide transporter protein","56/34399 | 1/884","0.7676","0.8192"
"PF03140","Plant protein of unknown function","108/34399 | 2/884","0.7692","0.8194"
"PF00248","Aldo/keto reductase family","58/34399 | 1/884","0.7794","0.8287"
"PF06246","Isy1-like splicing family","59/34399 | 1/884","0.7850","0.8332"
"PF00854","POT family","113/34399 | 2/884","0.7905","0.8374"
"PF14380","Wall-associated receptor kinase C-terminal","61/34399 | 1/884","0.7960","0.8417"
"PF07731","Multicopper oxidase","115/34399 | 2/884","0.7985","0.8428"
"PF00134","Cyclin, N-terminal domain","62/34399 | 1/884","0.8012","0.8441"
"PF14226","non-haem dioxygenase in morphine synthesis N-terminal","167/34399 | 3/884","0.8060","0.8462"
"PF00501","AMP-binding enzyme","117/34399 | 2/884","0.8062","0.8462"
"PF00403","Heavy-metal-associated domain","119/34399 | 2/884","0.8137","0.8525"
"PF00013","KH domain","66/34399 | 1/884","0.8209","0.8569"
"PF00155","Aminotransferase class I and II","66/34399 | 1/884","0.8209","0.8569"
"PF02536","mTERF","125/34399 | 2/884","0.8346","0.8696"
"PF00046","Homeobox domain","72/34399 | 1/884","0.8469","0.8797"
"PF00010","Helix-loop-helix DNA-binding domain","129/34399 | 2/884","0.8474","0.8797"
"PF06955","Xyloglucan endo-transglycosylase (XET) C-terminus","73/34399 | 1/884","0.8508","0.8817"
"PF00225","Kinesin motor domain","74/34399 | 1/884","0.8547","0.8841"
"PF01061","ABC-2 type transporter","75/34399 | 1/884","0.8584","0.8863"
"PF01357","Pollen allergen","77/34399 | 1/884","0.8656","0.8922"
"PF07732","Multicopper oxidase","79/34399 | 1/884","0.8724","0.8960"
"PF03018","Dirigent-like protein","79/34399 | 1/884","0.8724","0.8960"
"PF00271","Helicase conserved C-terminal domain","140/34399 | 2/884","0.8779","0.9000"
"PF02458","Transferase family","200/34399 | 3/884","0.8905","0.9100"
"PF00514","Armadillo/beta-catenin-like repeat","85/34399 | 1/884","0.8909","0.9100"
"PF01370","NAD dependent epimerase/dehydratase family","89/34399 | 1/884","0.9017","0.9194"
"PF13639","Ring finger domain","266/34399 | 4/884","0.9129","0.9284"
"PF13499","EF-hand domain pair","94/34399 | 1/884","0.9138","0.9284"
"PF00071","Ras family","96/34399 | 1/884","0.9181","0.9312"
"PF01554","MatE","103/34399 | 1/884","0.9318","0.9434"
"PF07714","Protein tyrosine kinase","586/34399 | 10/884","0.9361","0.9445"
"PF00646","F-box domain","171/34399 | 2/884","0.9362","0.9445"
"PF00168","C2 domain","108/34399 | 1/884","0.9402","0.9468"
"PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","254/34399 | 3/884","0.9601","0.9652"
"PF01764","Lipase (class 3)","130/34399 | 1/884","0.9663","0.9697"
"PF00481","Protein phosphatase 2C","143/34399 | 1/884","0.9760","0.9777"
"PF14541","Xylanase inhibitor C-terminal","151/34399 | 1/884","0.9805","0.9805"
