"ID","Description","Statistics","P-value","q-value"
"PF12313","NPR1/NIM1 like defence protein C terminal","4/34399 | 2/465","0.001075","0.1760"
"PF00319","SRF-type transcription factor (DNA-binding and dimerisation domain)","79/34399 | 1/465","0.6592","0.7158"
"PF03018","Dirigent-like protein","79/34399 | 1/465","0.6592","0.7158"
"PF07859","alpha/beta hydrolase fold","81/34399 | 1/465","0.6684","0.7235"
"PF03492","SAM dependent carboxyl methyltransferase","83/34399 | 1/465","0.6773","0.7310"
"PF07714","Protein tyrosine kinase","586/34399 | 7/465","0.6806","0.7323"
"PF01582","TIR domain","345/34399 | 4/465","0.6877","0.7377"
"PF03936","Terpene synthase family, metal binding domain","88/34399 | 1/465","0.6986","0.7471"
"PF01370","NAD dependent epimerase/dehydratase family","89/34399 | 1/465","0.7027","0.7492"
"PF00664","ABC transporter transmembrane region","91/34399 | 1/465","0.7107","0.7555"
"PF00270","DEAD/DEAH box helicase","96/34399 | 1/465","0.7297","0.7734"
"PF00141","Peroxidase","287/34399 | 3/465","0.7469","0.7877"
"PF02365","No apical meristem (NAM) protein","102/34399 | 1/465","0.7510","0.7877"
"PF13516","Leucine Rich repeat","103/34399 | 1/465","0.7544","0.7877"
"PF00394","Multicopper oxidase","103/34399 | 1/465","0.7544","0.7877"
"PF01554","MatE","103/34399 | 1/465","0.7544","0.7877"
"PF03195","Lateral organ boundaries (LOB) domain","111/34399 | 1/465","0.7798","0.8119"
"PF00560","Leucine Rich Repeat","486/34399 | 5/465","0.7879","0.8179"
"PF07731","Multicopper oxidase","115/34399 | 1/465","0.7915","0.8193"
"PF01095","Pectinesterase","116/34399 | 1/465","0.7943","0.8198"
"PF00403","Heavy-metal-associated domain","119/34399 | 1/465","0.8026","0.8259"
"PF00240","Ubiquitin family","120/34399 | 1/465","0.8053","0.8263"
"PF01764","Lipase (class 3)","130/34399 | 1/465","0.8301","0.8493"
"PF00249","Myb-like DNA-binding domain","337/34399 | 3/465","0.8358","0.8527"
"PF13855","Leucine rich repeat","791/34399 | 8/465","0.8407","0.8552"
"PF00004","ATPase family associated with various cellular activities (AAA)","153/34399 | 1/465","0.8759","0.8885"
"PF00067","Cytochrome P450","597/34399 | 5/465","0.9078","0.9182"
"PF08263","Leucine rich repeat N-terminal domain","434/34399 | 3/465","0.9343","0.9423"
"PF00400","WD domain, G-beta repeat","216/34399 | 1/465","0.9476","0.9519"
"PF00931","NB-ARC domain","669/34399 | 5/465","0.9492","0.9519"
"PF01657","Salt stress response/antifungal","236/34399 | 1/465","0.9602","0.9602"
