ID,Description,Statistics,P-value,q-value
PF01738,Dienelactone hydrolase family,9/34399 | 1/907,0.2138,0.3828
PF00917,MATH domain,9/34399 | 1/907,0.2138,0.3828
PF03081,Exo70 exocyst complex subunit,33/34399 | 2/907,0.2159,0.3855
PF00538,linker histone H1 and H5 family,34/34399 | 2/907,0.2257,0.4017
PF03080,Neprosin,10/34399 | 1/907,0.2345,0.4056
PF05739,SNARE domain,10/34399 | 1/907,0.2345,0.4056
PF08030,Ferric reductase NAD binding domain,10/34399 | 1/907,0.2345,0.4056
PF00795,Carbon-nitrogen hydrolase,10/34399 | 1/907,0.2345,0.4056
PF03405,Fatty acid desaturase,10/34399 | 1/907,0.2345,0.4056
PF01474,Class-II DAHP synthetase family,10/34399 | 1/907,0.2345,0.4056
PF00274,Fructose-bisphosphate aldolase class-I,10/34399 | 1/907,0.2345,0.4056
PF13445,RING-type zinc-finger,10/34399 | 1/907,0.2345,0.4056
PF02784,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain",10/34399 | 1/907,0.2345,0.4056
PF02201,SWIB/MDM2 domain,10/34399 | 1/907,0.2345,0.4056
PF00294,pfkB family carbohydrate kinase,36/34399 | 2/907,0.2453,0.423
PF02780,"Transketolase, C-terminal domain",11/34399 | 1/907,0.2547,0.4242
PF01336,OB-fold nucleic acid binding domain,11/34399 | 1/907,0.2547,0.4242
PF00241,Cofilin/tropomyosin-type actin-binding protein,11/34399 | 1/907,0.2547,0.4242
PF03178,CPSF A subunit region,11/34399 | 1/907,0.2547,0.4242
PF08613,Cyclin,11/34399 | 1/907,0.2547,0.4242
PF00445,Ribonuclease T2 family,11/34399 | 1/907,0.2547,0.4242
PF05634,APO RNA-binding,11/34399 | 1/907,0.2547,0.4242
PF07847,PCO_ADO,11/34399 | 1/907,0.2547,0.4242
PF00349,Hexokinase,11/34399 | 1/907,0.2547,0.4242
PF04734,"Neutral/alkaline non-lysosomal ceramidase, N-terminal",11/34399 | 1/907,0.2547,0.4242
PF01112,Asparaginase,11/34399 | 1/907,0.2547,0.4242
PF00488,MutS domain V,11/34399 | 1/907,0.2547,0.4242
PF00999,Sodium/hydrogen exchanger family,37/34399 | 2/907,0.2551,0.4242
PF12796,Ankyrin repeats (3 copies),67/34399 | 3/907,0.2595,0.4304
PF03407,Nucleotide-diphospho-sugar transferase,38/34399 | 2/907,0.2649,0.437
PF02309,AUX/IAA family,38/34399 | 2/907,0.2649,0.437
PF13639,Ring finger domain,266/34399 | 9/907,0.2704,0.4371
PF03446,NAD binding domain of 6-phosphogluconate dehydrogenase,12/34399 | 1/907,0.2744,0.4371
PF00285,"Citrate synthase, C-terminal domain",12/34399 | 1/907,0.2744,0.4371
PF01740,STAS domain,12/34399 | 1/907,0.2744,0.4371
PF03188,Eukaryotic cytochrome b561,12/34399 | 1/907,0.2744,0.4371
PF03092,BT1 family,12/34399 | 1/907,0.2744,0.4371
PF00675,Insulinase (Peptidase family M16),12/34399 | 1/907,0.2744,0.4371
PF09766,Fms-interacting protein,12/34399 | 1/907,0.2744,0.4371
PF01055,Glycosyl hydrolases family 31,12/34399 | 1/907,0.2744,0.4371
PF11145,Protein of unknown function (DUF2921),12/34399 | 1/907,0.2744,0.4371
PF01179,"Copper amine oxidase, enzyme domain",12/34399 | 1/907,0.2744,0.4371
PF14383,DUF761-associated sequence motif,12/34399 | 1/907,0.2744,0.4371
PF10607,CTLH/CRA C-terminal to LisH motif domain,12/34399 | 1/907,0.2744,0.4371
PF14226,non-haem dioxygenase in morphine synthesis N-terminal,167/34399 | 6/907,0.279,0.4434
PF04759,"Protein of unknown function, DUF617",13/34399 | 1/907,0.2935,0.458
PF00320,GATA zinc finger,13/34399 | 1/907,0.2935,0.458
PF01138,"3 exoribonuclease family, domain 1",13/34399 | 1/907,0.2935,0.458
PF00036,EF hand,13/34399 | 1/907,0.2935,0.458
PF00238,Ribosomal protein L14p/L23e,13/34399 | 1/907,0.2935,0.458
PF05193,Peptidase M16 inactive domain,13/34399 | 1/907,0.2935,0.458
PF06830,Root cap,13/34399 | 1/907,0.2935,0.458
PF00176,SNF2 family N-terminal domain,42/34399 | 2/907,0.3042,0.4735
PF01694,Rhomboid family,14/34399 | 1/907,0.3121,0.4785
PF08646,Replication factor-A C terminal domain,14/34399 | 1/907,0.3121,0.4785
PF02181,Formin Homology 2 Domain,14/34399 | 1/907,0.3121,0.4785
PF00557,Metallopeptidase family M24,14/34399 | 1/907,0.3121,0.4785
PF00656,Caspase domain,14/34399 | 1/907,0.3121,0.4785
PF02887,"Pyruvate kinase, alpha/beta domain",14/34399 | 1/907,0.3121,0.4785
PF12854,PPR repeat,422/34399 | 13/907,0.3233,0.4938
PF00888,Cullin family,15/34399 | 1/907,0.3303,0.4938
PF00152,"tRNA synthetases class II (D, K and N)",15/34399 | 1/907,0.3303,0.4938
PF02779,"Transketolase, pyrimidine binding domain",15/34399 | 1/907,0.3303,0.4938
PF03110,SBP domain,15/34399 | 1/907,0.3303,0.4938
PF00909,Ammonium Transporter Family,15/34399 | 1/907,0.3303,0.4938
PF03735,ENT domain,15/34399 | 1/907,0.3303,0.4938
PF01679,Proteolipid membrane potential modulator,15/34399 | 1/907,0.3303,0.4938
PF05183,RNA dependent RNA polymerase,15/34399 | 1/907,0.3303,0.4938
PF00520,Ion transport protein,15/34399 | 1/907,0.3303,0.4938
PF06974,Protein of unknown function (DUF1298),45/34399 | 2/907,0.3334,0.496
PF02984,"Cyclin, C-terminal domain",45/34399 | 2/907,0.3334,0.496
PF00582,Universal stress protein family,79/34399 | 3/907,0.3461,0.4993
PF01453,D-mannose binding lectin,79/34399 | 3/907,0.3461,0.4993
PF00179,Ubiquitin-conjugating enzyme,79/34399 | 3/907,0.3461,0.4993
PF02985,HEAT repeat,16/34399 | 1/907,0.3479,0.4993
PF13178,Protein of unknown function (DUF4005),16/34399 | 1/907,0.3479,0.4993
PF06814,Lung seven transmembrane receptor,16/34399 | 1/907,0.3479,0.4993
PF13417,"Glutathione S-transferase, N-terminal domain",16/34399 | 1/907,0.3479,0.4993
PF07002,Copine,16/34399 | 1/907,0.3479,0.4993
PF14379,"MYB-CC type transfactor, LHEQLE motif",16/34399 | 1/907,0.3479,0.4993
PF00335,Tetraspanin family,16/34399 | 1/907,0.3479,0.4993
PF00928,Adaptor complexes medium subunit family,16/34399 | 1/907,0.3479,0.4993
PF06203,CCT motif,16/34399 | 1/907,0.3479,0.4993
PF00687,Ribosomal protein L1p/L10e family,16/34399 | 1/907,0.3479,0.4993
PF02866,"lactate/malate dehydrogenase, alpha/beta C-terminal domain",16/34399 | 1/907,0.3479,0.4993
PF05033,Pre-SET motif,16/34399 | 1/907,0.3479,0.4993
PF00201,UDP-glucoronosyl and UDP-glucosyl transferase,254/34399 | 8/907,0.3555,0.5089
PF00022,Actin,81/34399 | 3/907,0.3605,0.5131
PF00493,MCM2/3/5 family,17/34399 | 1/907,0.3651,0.5131
PF00916,Sulfate permease family,17/34399 | 1/907,0.3651,0.5131
PF01459,Eukaryotic porin,17/34399 | 1/907,0.3651,0.5131
PF05910,Plant protein of unknown function (DUF868),17/34399 | 1/907,0.3651,0.5131
PF04755,PAP_fibrillin,17/34399 | 1/907,0.3651,0.5131
PF16719,SAWADEE domain,17/34399 | 1/907,0.3651,0.5131
PF00251,Glycosyl hydrolases family 32 N-terminal domain,17/34399 | 1/907,0.3651,0.5131
PF03171,2OG-Fe(II) oxygenase superfamily,187/34399 | 6/907,0.3716,0.52
PF04525,LURP-one-related,49/34399 | 2/907,0.3718,0.52
PF00096,"Zinc finger, C2H2 type",18/34399 | 1/907,0.3819,0.5221
PF00654,Voltage gated chloride channel,18/34399 | 1/907,0.3819,0.5221
PF10354,Domain of unknown function (DUF2431),18/34399 | 1/907,0.3819,0.5221
PF00173,Cytochrome b5-like Heme/Steroid binding domain,18/34399 | 1/907,0.3819,0.5221
PF06507,Auxin response factor,18/34399 | 1/907,0.3819,0.5221
PF01602,Adaptin N terminal region,18/34399 | 1/907,0.3819,0.5221
PF13602,Zinc-binding dehydrogenase,18/34399 | 1/907,0.3819,0.5221
PF00097,"Zinc finger, C3HC4 type (RING finger)",18/34399 | 1/907,0.3819,0.5221
PF11955,Plant organelle RNA recognition domain,18/34399 | 1/907,0.3819,0.5221
PF12734,Cysteine-rich TM module stress tolerance,18/34399 | 1/907,0.3819,0.5221
PF01344,Kelch motif,121/34399 | 4/907,0.396,0.5312
PF00249,Myb-like DNA-binding domain,337/34399 | 10/907,0.3972,0.5312
PF01762,Galactosyltransferase,19/34399 | 1/907,0.3982,0.5312
PF00743,Flavin-binding monooxygenase-like,19/34399 | 1/907,0.3982,0.5312
PF15511,Centromere kinetochore component CENP-T histone fold,19/34399 | 1/907,0.3982,0.5312
PF03055,Retinal pigment epithelial membrane protein,19/34399 | 1/907,0.3982,0.5312
PF01494,FAD binding domain,19/34399 | 1/907,0.3982,0.5312
PF00447,HSF-type DNA-binding,19/34399 | 1/907,0.3982,0.5312
PF01301,Glycosyl hydrolases family 35,19/34399 | 1/907,0.3982,0.5312
PF01425,Amidase,19/34399 | 1/907,0.3982,0.5312
PF00307,Calponin homology (CH) domain,19/34399 | 1/907,0.3982,0.5312
PF00443,Ubiquitin carboxyl-terminal hydrolase,52/34399 | 2/907,0.4,0.5324
PF00139,Legume lectin domain,122/34399 | 4/907,0.4019,0.5338
PF03936,"Terpene synthase family, metal binding domain",88/34399 | 3/907,0.4106,0.5441
PF03547,Membrane transport protein,20/34399 | 1/907,0.4141,0.5464
PF08246,Cathepsin propeptide inhibitor domain (I29),20/34399 | 1/907,0.4141,0.5464
PF01565,FAD binding domain,54/34399 | 2/907,0.4184,0.5509
PF13947,Wall-associated receptor kinase galacturonan-binding,55/34399 | 2/907,0.4275,0.5595
PF08879,WRC,21/34399 | 1/907,0.4295,0.5595
PF04408,Helicase associated domain (HA2),21/34399 | 1/907,0.4295,0.5595
PF14215,bHLH-MYC and R2R3-MYB transcription factors N-terminal,21/34399 | 1/907,0.4295,0.5595
PF01423,LSM domain,21/34399 | 1/907,0.4295,0.5595
PF00314,Thaumatin family,56/34399 | 2/907,0.4366,0.5674
PF02453,Reticulon,22/34399 | 1/907,0.4446,0.5754
PF00195,"Chalcone and stilbene synthases, N-terminal domain",22/34399 | 1/907,0.4446,0.5754
PF05922,Peptidase inhibitor I9,57/34399 | 2/907,0.4455,0.5754
PF00248,Aldo/keto reductase family,58/34399 | 2/907,0.4544,0.5856
PF04749,PLAC8 family,23/34399 | 1/907,0.4592,0.5893
PF00462,Glutaredoxin,23/34399 | 1/907,0.4592,0.5893
PF00071,Ras family,96/34399 | 3/907,0.4662,0.597
PF12872,OST-HTH/LOTUS domain,24/34399 | 1/907,0.4735,0.6026
PF00583,Acetyltransferase (GNAT) family,24/34399 | 1/907,0.4735,0.6026
PF00350,Dynamin family,24/34399 | 1/907,0.4735,0.6026
PF14380,Wall-associated receptor kinase C-terminal,61/34399 | 2/907,0.4806,0.6103
PF00224,"Pyruvate kinase, barrel domain",25/34399 | 1/907,0.4874,0.6109
PF12481,Aluminium induced protein,25/34399 | 1/907,0.4874,0.6109
PF02485,Core-2/I-Branching enzyme,25/34399 | 1/907,0.4874,0.6109
PF00025,ADP-ribosylation factor family,25/34399 | 1/907,0.4874,0.6109
PF00689,"Cation transporting ATPase, C-terminus",25/34399 | 1/907,0.4874,0.6109
PF00044,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain",25/34399 | 1/907,0.4874,0.6109
PF00134,"Cyclin, N-terminal domain",62/34399 | 2/907,0.4891,0.6109
PF03141,Putative S-adenosyl-L-methionine-dependent methyltransferase,62/34399 | 2/907,0.4891,0.6109
PF02990,Endomembrane protein 70,26/34399 | 1/907,0.5009,0.618
PF02854,MIF4G domain,26/34399 | 1/907,0.5009,0.618
PF14363,Domain associated at C-terminal with AAA,26/34399 | 1/907,0.5009,0.618
PF13181,Tetratricopeptide repeat,26/34399 | 1/907,0.5009,0.618
PF14223,gag-polypeptide of LTR copia-type,26/34399 | 1/907,0.5009,0.618
PF12146,"Serine aminopeptidase, S33",26/34399 | 1/907,0.5009,0.618
PF02519,Auxin responsive protein,140/34399 | 4/907,0.5063,0.6233
PF00153,Mitochondrial carrier protein,103/34399 | 3/907,0.5128,0.6266
PF00571,CBS domain,27/34399 | 1/907,0.5141,0.6266
PF04030,"D-arabinono-1,4-lactone oxidase",27/34399 | 1/907,0.5141,0.6266
PF04570,"zinc-finger of the FCS-type, C2-C2",27/34399 | 1/907,0.5141,0.6266
PF14008,Iron/zinc purple acid phosphatase-like protein C,27/34399 | 1/907,0.5141,0.6266
PF00069,Protein kinase domain,1251/34399 | 33/907,0.5243,0.6346
PF02364,"1,3-beta-glucan synthase component",28/34399 | 1/907,0.5269,0.6346
PF02469,Fasciclin domain,28/34399 | 1/907,0.5269,0.6346
PF03031,NLI interacting factor-like phosphatase,28/34399 | 1/907,0.5269,0.6346
PF07724,AAA domain (Cdc48 subfamily),28/34399 | 1/907,0.5269,0.6346
PF16656,"Purple acid Phosphatase, N-terminal domain",28/34399 | 1/907,0.5269,0.6346
PF00188,Cysteine-rich secretory protein family,29/34399 | 1/907,0.5394,0.6483
PF03140,Plant protein of unknown function,108/34399 | 3/907,0.5448,0.6528
PF14368,Probable lipid transfer,69/34399 | 2/907,0.5464,0.6528
PF03330,Lytic transglycolase,69/34399 | 2/907,0.5464,0.6528
PF01596,O-methyltransferase,30/34399 | 1/907,0.5516,0.6539
PF00564,PB1 domain,30/34399 | 1/907,0.5516,0.6539
PF04770,ZF-HD protein dimerisation region,30/34399 | 1/907,0.5516,0.6539
PF03107,C1 domain,30/34399 | 1/907,0.5516,0.6539
PF01582,TIR domain,345/34399 | 9/907,0.5596,0.6602
PF08240,Alcohol dehydrogenase GroES-like domain,71/34399 | 2/907,0.5619,0.6602
PF16211,C-terminus of histone H2A,31/34399 | 1/907,0.5634,0.6602
PF00035,Double-stranded RNA binding motif,31/34399 | 1/907,0.5634,0.6602
PF07250,Glyoxal oxidase N-terminus,31/34399 | 1/907,0.5634,0.6602
PF03007,Wax ester synthase-like Acyl-CoA acyltransferase domain,31/34399 | 1/907,0.5634,0.6602
PF07993,Male sterility protein,32/34399 | 1/907,0.5749,0.6697
PF00903,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,32/34399 | 1/907,0.5749,0.6697
PF13833,EF-hand domain pair,32/34399 | 1/907,0.5749,0.6697
PF05699,hAT family C-terminal dimerisation region,73/34399 | 2/907,0.577,0.6697
PF04043,Plant invertase/pectin methylesterase inhibitor,73/34399 | 2/907,0.577,0.6697
PF00118,TCP-1/cpn60 chaperonin family,33/34399 | 1/907,0.5861,0.6777
PF03931,"Skp1 family, tetramerisation domain",33/34399 | 1/907,0.5861,0.6777
PF01094,Receptor family ligand binding region,34/34399 | 1/907,0.5971,0.689
PF00501,AMP-binding enzyme,117/34399 | 3/907,0.5991,0.6901
PF08392,FAE1/Type III polyketide synthase-like protein,35/34399 | 1/907,0.6077,0.696
PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,35/34399 | 1/907,0.6077,0.696
PF11744,Aluminium activated malate transporter,35/34399 | 1/907,0.6077,0.696
PF00232,Glycosyl hydrolase family 1,78/34399 | 2/907,0.6131,0.7009
PF00319,SRF-type transcription factor (DNA-binding and dimerisation domain),79/34399 | 2/907,0.6201,0.7075
PF00083,Sugar (and other) transporter,163/34399 | 4/907,0.6261,0.7127
PF00933,Glycosyl hydrolase family 3 N terminal domain,37/34399 | 1/907,0.6281,0.7127
PF08100,Dimerisation domain,37/34399 | 1/907,0.6281,0.7127
PF00847,AP2 domain,247/34399 | 6/907,0.6365,0.7198
PF04398,"Protein of unknown function, DUF538",38/34399 | 1/907,0.6379,0.7198
PF00295,Glycosyl hydrolases family 28,38/34399 | 1/907,0.6379,0.7198
PF02536,mTERF,125/34399 | 3/907,0.6437,0.7249
PF00170,bZIP transcription factor,39/34399 | 1/907,0.6475,0.7265
PF00415,Regulator of chromosome condensation (RCC1) repeat,39/34399 | 1/907,0.6475,0.7265
PF09425,Divergent CCT motif,40/34399 | 1/907,0.6568,0.7356
PF00514,Armadillo/beta-catenin-like repeat,85/34399 | 2/907,0.6597,0.7374
PF14009,Domain of unknown function (DUF4228),129/34399 | 3/907,0.6646,0.7416
PF14111,Domain of unknown function (DUF4283),41/34399 | 1/907,0.6659,0.7416
PF00091,"Tubulin/FtsZ family, GTPase domain",42/34399 | 1/907,0.6747,0.7487
PF05199,GMC oxidoreductase,42/34399 | 1/907,0.6747,0.7487
PF01370,NAD dependent epimerase/dehydratase family,89/34399 | 2/907,0.6842,0.7579
PF00098,Zinc knuckle,44/34399 | 1/907,0.6916,0.7633
PF00112,Papain family cysteine protease,44/34399 | 1/907,0.6916,0.7633
PF00005,ABC transporter,221/34399 | 5/907,0.6954,0.7652
PF00664,ABC transporter transmembrane region,91/34399 | 2/907,0.6959,0.7652
PF02225,PA domain,45/34399 | 1/907,0.6998,0.7667
PF08241,Methyltransferase domain,45/34399 | 1/907,0.6998,0.7667
PF00271,Helicase conserved C-terminal domain,140/34399 | 3/907,0.7175,0.7841
PF00125,Core histone H2A/H2B/H3/H4,95/34399 | 2/907,0.7182,0.7841
PF03514,GRAS domain family,48/34399 | 1/907,0.7229,0.7864
PF00642,Zinc finger C-x8-C-x5-C-x3-H type (and similar),48/34399 | 1/907,0.7229,0.7864
PF03016,Exostosin family,50/34399 | 1/907,0.7374,0.8007
PF00657,GDSL-like Lipase/Acylhydrolase,99/34399 | 2/907,0.7392,0.8012
PF02365,No apical meristem (NAM) protein,102/34399 | 2/907,0.754,0.8158
PF00122,E1-E2 ATPase,53/34399 | 1/907,0.7576,0.8166
PF03168,Late embryogenesis abundant protein,53/34399 | 1/907,0.7576,0.8166
PF13516,Leucine Rich repeat,103/34399 | 2/907,0.7588,0.8166
PF00182,Chitinase class I,54/34399 | 1/907,0.764,0.8208
PF00141,Peroxidase,287/34399 | 6/907,0.7707,0.8258
PF00004,ATPase family associated with various cellular activities (AAA),153/34399 | 3/907,0.7714,0.8258
PF03169,OPT oligopeptide transporter protein,56/34399 | 1/907,0.7763,0.8296
PF00168,C2 domain,108/34399 | 2/907,0.7814,0.833
PF06200,tify domain,57/34399 | 1/907,0.7822,0.833
PF00171,Aldehyde dehydrogenase family,58/34399 | 1/907,0.788,0.8377
PF06246,Isy1-like splicing family,59/34399 | 1/907,0.7936,0.8398
PF02362,B3 DNA binding domain,59/34399 | 1/907,0.7936,0.8398
PF03195,Lateral organ boundaries (LOB) domain,111/34399 | 2/907,0.7941,0.8398
PF01397,"Terpene synthase, N-terminal domain",62/34399 | 1/907,0.8095,0.8531
PF00891,O-methyltransferase,62/34399 | 1/907,0.8095,0.8531
PF01095,Pectinesterase,116/34399 | 2/907,0.8139,0.8554
PF02298,Plastocyanin-like domain,63/34399 | 1/907,0.8145,0.8554
PF00403,Heavy-metal-associated domain,119/34399 | 2/907,0.8249,0.8647
PF00013,KH domain,66/34399 | 1/907,0.8289,0.866
PF00155,Aminotransferase class I and II,66/34399 | 1/907,0.8289,0.866
PF03083,Sugar efflux transporter for intercellular exchange,70/34399 | 1/907,0.8462,0.8826
PF00046,Homeobox domain,72/34399 | 1/907,0.8543,0.8894
PF00230,Major intrinsic protein,73/34399 | 1/907,0.8581,0.8919
PF01764,Lipase (class 3),130/34399 | 2/907,0.8604,0.8927
PF00107,Zinc-binding dehydrogenase,74/34399 | 1/907,0.8619,0.8927
PF12799,Leucine Rich repeats (2 copies),77/34399 | 1/907,0.8725,0.9023
PF07732,Multicopper oxidase,79/34399 | 1/907,0.8792,0.906
PF03018,Dirigent-like protein,79/34399 | 1/907,0.8792,0.906
PF04564,U-box domain,83/34399 | 1/907,0.8914,0.9171
PF00560,Leucine Rich Repeat,486/34399 | 9/907,0.8962,0.9205
PF13499,EF-hand domain pair,94/34399 | 1/907,0.9192,0.9424
PF00270,DEAD/DEAH box helicase,96/34399 | 1/907,0.9234,0.9452
PF01554,MatE,103/34399 | 1/907,0.9365,0.9554
PF00394,Multicopper oxidase,103/34399 | 1/907,0.9365,0.9554
PF07731,Multicopper oxidase,115/34399 | 1/907,0.954,0.9695
PF00067,Cytochrome P450,597/34399 | 10/907,0.9543,0.9695
PF00012,Hsp70 protein,116/34399 | 1/907,0.9552,0.9695
PF00240,Ubiquitin family,120/34399 | 1/907,0.9597,0.9709
PF01490,Transmembrane amino acid transporter protein,120/34399 | 1/907,0.9597,0.9709
PF00226,DnaJ domain,122/34399 | 1/907,0.9618,0.9714
PF07714,Protein tyrosine kinase,586/34399 | 9/907,0.9729,0.9799
PF08263,Leucine rich repeat N-terminal domain,434/34399 | 6/907,0.9735,0.9799
PF13855,Leucine rich repeat,791/34399 | 13/907,0.9764,0.9812
PF00400,"WD domain, G-beta repeat",216/34399 | 1/907,0.9969,0.9982
PF00931,NB-ARC domain,669/34399 | 8/907,0.9969,0.9982
PF01657,Salt stress response/antifungal,236/34399 | 1/907,0.9982,0.9982
